4.91550e-4	3.10210e-3	4.53140e-3	4.47310e-3	3.22670e-3	1.85700e-3	9.78200e-4	5.39940e-4	3.30990e-4	2.03990e-4	1.11840e-4	5.50180e-5	2.61670e-5	1.29440e-5	6.86830e-6	3.66350e-6	1.81960e-6	8.49940e-7	3.92440e-7	1.87810e-7	9.44130e-8	4.72200e-8	2.23860e-8	1.02120e-8	4.65510e-9	2.19360e-9	1.07060e-9	5.15720e-10	2.38080e-10	1.07230e-10	4.85740e-11	2.26890e-11	1.08550e-11	5.09960e-12	2.31530e-12	1.03510e-12	4.67420e-13	2.17050e-13	1.02280e-13	4.71940e-14	2.11920e-14	9.43380e-15	4.25370e-15	1.96630e-15	9.15050e-16	4.16590e-16	1.85670e-16	8.24570e-17	3.71610e-17	1.71080e-17	7.87690e-18	3.54950e-18	1.57400e-18	6.98220e-19	3.14670e-19	1.44280e-19	6.58120e-20	2.94240e-20	1.30040e-20	5.76700e-21	2.59940e-21	1.18690e-21	5.36990e-22	2.38650e-22	1.05240e-22	4.66860e-23	2.10420e-23	9.56160e-24	4.29090e-24	1.90150e-24	8.37460e-25	3.71780e-25	1.67530e-25	7.57700e-26	3.37920e-26	1.48480e-26
4.91330e-4	3.10030e-3	4.52860e-3	4.47000e-3	3.22420e-3	1.85540e-3	9.77410e-4	5.39770e-4	3.31280e-4	2.04570e-4	1.12380e-4	5.53450e-5	2.63360e-5	1.30370e-5	6.93080e-6	3.71120e-6	1.85030e-6	8.66140e-7	4.00280e-7	1.91740e-7	9.66830e-8	4.86430e-8	2.31850e-8	1.06060e-8	4.84040e-9	2.28400e-9	1.11980e-9	5.43800e-10	2.52720e-10	1.14180e-10	5.17900e-11	2.42390e-11	1.16720e-11	5.53950e-12	2.53390e-12	1.13670e-12	5.13970e-13	2.39360e-13	1.13790e-13	5.31400e-14	2.40510e-14	1.07430e-14	4.85120e-15	2.25190e-15	1.06000e-15	4.89120e-16	2.19760e-16	9.79110e-17	4.42030e-17	2.04710e-17	9.55930e-18	4.37030e-18	1.95340e-18	8.69130e-19	3.92540e-19	1.81460e-19	8.41660e-20	3.81990e-20	1.70100e-20	7.56460e-21	3.41950e-21	1.57830e-21	7.27760e-22	3.28360e-22	1.45830e-22	6.48550e-23	2.93480e-23	1.35290e-23	6.20550e-24	2.78650e-24	1.23520e-24	5.49680e-25	2.49060e-25	1.14580e-25	5.22490e-26	2.32940e-26
4.90640e-4	3.09520e-3	4.52010e-3	4.46060e-3	3.21660e-3	1.85060e-3	9.75060e-4	5.39230e-4	3.32160e-4	2.06330e-4	1.14010e-4	5.63350e-5	2.68490e-5	1.33160e-5	7.11950e-6	3.85580e-6	1.94440e-6	9.15990e-7	4.24450e-7	2.03850e-7	1.03670e-7	5.30500e-8	2.56950e-8	1.18550e-8	5.42840e-9	2.57040e-9	1.27550e-9	6.33620e-10	3.00340e-10	1.37050e-10	6.23960e-11	2.93370e-11	1.43590e-11	7.00820e-12	3.27890e-12	1.48670e-12	6.74880e-13	3.16190e-13	1.53490e-13	7.40690e-14	3.43590e-14	1.55170e-14	7.03430e-15	3.29060e-15	1.58940e-15	7.60970e-16	3.50860e-16	1.58040e-16	7.16200e-17	3.34960e-17	1.61280e-17	7.67680e-18	3.52350e-18	1.58440e-18	7.18220e-19	3.36100e-19	1.61510e-19	7.65230e-20	3.49970e-20	1.57180e-20	7.13100e-21	3.34090e-21	1.60330e-21	7.56690e-22	3.45040e-22	1.54860e-22	7.03340e-23	3.30010e-23	1.58220e-23	7.44200e-24	3.38480e-24	1.51850e-24	6.90570e-25	3.24480e-25	1.55300e-25	7.29210e-26
4.89500e-4	3.08670e-3	4.50590e-3	4.44510e-3	3.20390e-3	1.84250e-3	9.71130e-4	5.38330e-4	3.33610e-4	2.09270e-4	1.16740e-4	5.80080e-5	2.77170e-5	1.37870e-5	7.43770e-6	4.10180e-6	2.10730e-6	1.00340e-6	4.66990e-7	2.25110e-7	1.15890e-7	6.08630e-8	3.02620e-8	1.41670e-8	6.52320e-9	3.10200e-9	1.56340e-9	8.02740e-10	3.93060e-10	1.82540e-10	8.36240e-11	3.94970e-11	1.96930e-11	9.99630e-12	4.85650e-12	2.24620e-12	1.02630e-12	4.82980e-13	2.39440e-13	1.20800e-13	5.84430e-14	2.69710e-14	1.23050e-14	5.77950e-15	2.85630e-15	1.43620e-15	6.93240e-16	3.19540e-16	1.45660e-16	6.83410e-17	3.37170e-17	1.69220e-17	8.15740e-18	3.75750e-18	1.71200e-18	8.02760e-19	3.95670e-19	1.98370e-19	9.55590e-20	4.39980e-20	2.00420e-20	9.39430e-21	4.62780e-21	2.31880e-21	1.11650e-21	5.13980e-22	2.34100e-22	1.09700e-22	5.40240e-23	2.70600e-23	1.30270e-23	5.99580e-24	2.73080e-24	1.27950e-24	6.29970e-25	3.15480e-25
4.87890e-4	3.07470e-3	4.48600e-3	4.42320e-3	3.18610e-3	1.83130e-3	9.65610e-4	5.37050e-4	3.35620e-4	2.13390e-4	1.20620e-4	6.04000e-5	2.89610e-5	1.44600e-5	7.89070e-6	4.45660e-6	2.34850e-6	1.13520e-6	5.31510e-7	2.57260e-7	1.34260e-7	7.28010e-8	3.75020e-8	1.79310e-8	8.32260e-9	3.97260e-9	2.03140e-9	1.08310e-9	5.54020e-10	2.64230e-10	1.22200e-10	5.78750e-11	2.92560e-11	1.54760e-11	7.91040e-12	3.77650e-12	1.74410e-12	8.21760e-13	4.12130e-13	2.17090e-13	1.11170e-13	5.32200e-14	2.45740e-14	1.15320e-14	5.74720e-15	3.01850e-15	1.55060e-15	7.45000e-16	3.44170e-16	1.60990e-16	7.97720e-17	4.17910e-17	2.15430e-17	1.03940e-17	4.80660e-18	2.24190e-18	1.10500e-18	5.77360e-19	2.98680e-19	1.44770e-19	6.70380e-20	3.11900e-20	1.52920e-20	7.96760e-21	4.13580e-21	2.01440e-21	9.34380e-22	4.33770e-22	2.11590e-22	1.09890e-22	5.72190e-23	2.80100e-23	1.30190e-23	6.03240e-24	2.92790e-24	1.51520e-24
4.85820e-4	3.05920e-3	4.46040e-3	4.39490e-3	3.16310e-3	1.81670e-3	9.58480e-4	5.35380e-4	3.38170e-4	2.18690e-4	1.25690e-4	6.35620e-5	3.06080e-5	1.53490e-5	8.48610e-6	4.93010e-6	2.68130e-6	1.32160e-6	6.23560e-7	3.02970e-7	1.60180e-7	8.98990e-8	4.83540e-8	2.37870e-8	1.11620e-8	5.34160e-9	2.75900e-9	1.52520e-9	8.21980e-10	4.06870e-10	1.90900e-10	9.05130e-11	4.59890e-11	2.51720e-11	1.36460e-11	6.82140e-12	3.20960e-12	1.51190e-12	7.57610e-13	4.10890e-13	2.24160e-13	1.13360e-13	5.35970e-14	2.51320e-14	1.24360e-14	6.67770e-15	3.66180e-15	1.87530e-15	8.92420e-16	4.17190e-16	2.04060e-16	1.08370e-16	5.96180e-17	3.09270e-17	1.48360e-17	6.92510e-18	3.35190e-18	1.75860e-18	9.68390e-19	5.08740e-19	2.46360e-19	1.14990e-19	5.51410e-20	2.85610e-20	1.57040e-20	8.34880e-21	4.08640e-21	1.91030e-21	9.08610e-22	4.64490e-22	2.54360e-22	1.36690e-22	6.76960e-23	3.17420e-23	1.49970e-23	7.56640e-24
4.83280e-4	3.04060e-3	4.42890e-3	4.36020e-3	3.13480e-3	1.79880e-3	9.49730e-4	5.33290e-4	3.41230e-4	2.25180e-4	1.32030e-4	6.75620e-5	3.26970e-5	1.64700e-5	9.23370e-6	5.53420e-6	3.12330e-6	1.57710e-6	7.51230e-7	3.66150e-7	1.95600e-7	1.13540e-7	6.41420e-8	3.27200e-8	1.55840e-8	7.47130e-9	3.87380e-9	2.20530e-9	1.25740e-9	6.53420e-10	3.13390e-10	1.48800e-10	7.53250e-11	4.20720e-11	2.41840e-11	1.28460e-11	6.23480e-12	2.94570e-12	1.46080e-12	7.98740e-13	4.60670e-13	2.50300e-13	1.23430e-13	5.82720e-14	2.83980e-14	1.51730e-14	8.72560e-15	4.84240e-15	2.43460e-15	1.15330e-15	5.54280e-16	2.89180e-16	1.64750e-16	9.30730e-17	4.78390e-17	2.28310e-17	1.08630e-17	5.53740e-18	3.10760e-18	1.77810e-18	9.35810e-19	4.51780e-19	2.13650e-19	1.06610e-19	5.86680e-20	3.37860e-20	1.82120e-20	8.92830e-21	4.21380e-21	2.06410e-21	1.11050e-21	6.39230e-22	3.52420e-22	1.76060e-22	8.32740e-23	4.01770e-23
4.80260e-4	3.01830e-3	4.39140e-3	4.31890e-3	3.10120e-3	1.77760e-3	9.39320e-4	5.30770e-4	3.44760e-4	2.32850e-4	1.39710e-4	7.24830e-5	3.52770e-5	1.78480e-5	1.01450e-5	6.28250e-6	3.69600e-6	1.92120e-6	9.25920e-7	4.52360e-7	2.43270e-7	1.45520e-7	8.66280e-8	4.62060e-8	2.24600e-8	1.07890e-8	5.58010e-9	3.23710e-9	1.94980e-9	1.07560e-9	5.32900e-10	2.54250e-10	1.27430e-10	7.14100e-11	4.30800e-11	2.45960e-11	1.25220e-11	5.98660e-12	2.92820e-12	1.58100e-12	9.42980e-13	5.54320e-13	2.91850e-13	1.41010e-13	6.78460e-14	3.53210e-14	2.05770e-14	1.23310e-14	6.73720e-15	3.31790e-15	1.58340e-15	7.98060e-16	4.50090e-16	2.71350e-16	1.53770e-16	7.77910e-17	3.71440e-17	1.82420e-17	9.91430e-18	5.92720e-18	3.46590e-18	1.81280e-18	8.73590e-19	4.21310e-19	2.20650e-19	1.29110e-19	7.71470e-20	4.18770e-20	2.05450e-20	9.81290e-21	4.97030e-21	2.81840e-21	1.69850e-21	9.56950e-22	4.81800e-22	2.29910e-22
4.76740e-4	2.99230e-3	4.34780e-3	4.27090e-3	3.06220e-3	1.75290e-3	9.27240e-4	5.27780e-4	3.48740e-4	2.41710e-4	1.48810e-4	7.84290e-5	3.84090e-5	1.95100e-5	1.12350e-5	7.18980e-6	4.42500e-6	2.37970e-6	1.16350e-6	5.69470e-7	3.06960e-7	1.88090e-7	1.18050e-7	6.63810e-8	3.31650e-8	1.59920e-8	8.20830e-9	4.79280e-9	3.02630e-9	1.78760e-9	9.27120e-10	4.47650e-10	2.21640e-10	1.22660e-10	7.61830e-11	4.68780e-11	2.55270e-11	1.25360e-11	6.07300e-12	3.19170e-12	1.90950e-12	1.20130e-12	6.90050e-13	3.49870e-13	1.68410e-13	8.48030e-14	4.82300e-14	3.02580e-14	1.82480e-14	9.67680e-15	4.70130e-15	2.29860e-15	1.23870e-15	7.56280e-16	4.71560e-16	2.63680e-16	1.31330e-16	6.32990e-17	3.25070e-17	1.89670e-17	1.19460e-17	7.04250e-18	3.64830e-18	1.76110e-18	8.71930e-19	4.82150e-19	2.98950e-19	1.83840e-19	1.00140e-19	4.91920e-20	2.38280e-20	1.25080e-20	7.46830e-21	4.69510e-21	2.70030e-21	1.37070e-21
4.72730e-4	2.96250e-3	4.29810e-3	4.21610e-3	3.01760e-3	1.72480e-3	9.13450e-4	5.24300e-4	3.53100e-4	2.51750e-4	1.59450e-4	8.55230e-5	4.21660e-5	2.14920e-5	1.25190e-5	8.27110e-6	5.33890e-6	2.98600e-6	1.48610e-6	7.28530e-7	3.91940e-7	2.44180e-7	1.61120e-7	9.62080e-8	4.98460e-8	2.42200e-8	1.23000e-8	7.13970e-9	4.66450e-9	2.95970e-9	1.63140e-9	8.06230e-10	3.95340e-10	2.13550e-10	1.33300e-10	8.75320e-11	5.18590e-11	2.67220e-11	1.29730e-11	6.60760e-12	3.85060e-12	2.51570e-12	1.58950e-12	8.72120e-13	4.30180e-13	2.11200e-13	1.14460e-13	7.15870e-14	4.69320e-14	2.77040e-14	1.42400e-14	6.91290e-15	3.52830e-15	2.06130e-15	1.34700e-15	8.49080e-16	4.64640e-16	2.28970e-16	1.12520e-16	6.11130e-17	3.82740e-17	2.50680e-17	1.47620e-17	7.57660e-18	3.67800e-18	1.88010e-18	1.10030e-18	7.19220e-19	4.52570e-19	2.47220e-19	1.21750e-19	5.98730e-20	3.25720e-20	2.04220e-20	1.33640e-20	7.85690e-21
